Country,Quality,Average Price ($)
Argentina,1/6 Acceptable,14.86
Argentina,2/6 Good,15.45
Argentina,3/6 Very Good,21.35
Argentina,4/6 Excellent,46.59
Argentina,5/6 Superior,81.53
Australia,1/6 Acceptable,20.0
Australia,2/6 Good,18.22
Australia,3/6 Very Good,27.83
Australia,4/6 Excellent,48.21
Australia,5/6 Superior,132.38
Australia,6/6 Outstanding,492.5
Austria,2/6 Good,17.56
Austria,3/6 Very Good,23.67
Austria,4/6 Excellent,33.48
Austria,5/6 Superior,69.19
Chile,1/6 Acceptable,12.35
Chile,2/6 Good,14.23
Chile,3/6 Very Good,20.65
Chile,4/6 Excellent,44.8
Chile,5/6 Superior,75.0
France,1/6 Acceptable,16.67
France,2/6 Good,17.82
France,3/6 Very Good,24.78
France,4/6 Excellent,46.71
France,5/6 Superior,106.3
Germany,1/6 Acceptable,76.0
Germany,2/6 Good,20.27
Germany,3/6 Very Good,24.95
Germany,4/6 Excellent,45.01
Germany,5/6 Superior,151.31
Italy,1/6 Acceptable,14.0
Italy,2/6 Good,22.94
Italy,3/6 Very Good,33.03
Italy,4/6 Excellent,55.43
Italy,5/6 Superior,83.47
Italy,6/6 Outstanding,350.0
Portugal,1/6 Acceptable,11.57
Portugal,2/6 Good,12.05
Portugal,3/6 Very Good,18.18
Portugal,4/6 Excellent,32.85
Portugal,5/6 Superior,82.34
Portugal,6/6 Outstanding,450.0
Spain,1/6 Acceptable,16.16
Spain,2/6 Good,17.37
Spain,3/6 Very Good,25.73
Spain,4/6 Excellent,47.2
Spain,5/6 Superior,145.57
Spain,6/6 Outstanding,450.0
United States,1/6 Acceptable,24.64
United States,2/6 Good,28.8
United States,3/6 Very Good,34.21
United States,4/6 Excellent,45.86
United States,5/6 Superior,74.16
