Name,Image,Country,Price Range,Score,Price
Sangiovese Grosso,,Italy,Up to 500€,100 pts,270.0€
Portuguese Red,,Portugal,Up to 500€,100 pts,450.0€
Merlot,,Italy,Up to 500€,100 pts,460.0€
Shiraz,,Australia,Up to 1500€,99 pts,850.0€
Pinot Noir,,United States,Up to 100€,97 pts,75.0€
Red Blend,,Italy,Up to 100€,97 pts,81.0€
Chardonnay,,Austria,Up to 100€,97 pts,90.0€
Riesling,,Germany,Up to 1500€,97 pts,612.0€
Riesling,,Germany,Up to 1500€,97 pts,775.0€
Riesling,,Austria,Up to 50€,96 pts,28.0€
Riesling,,Austria,Up to 50€,96 pts,35.0€
Riesling,,United States,Up to 50€,96 pts,38.0€
Riesling,,United States,Up to 20€,95 pts,20.0€
Riesling,,Austria,Up to 20€,94 pts,18.0€
Riesling,,Australia,Up to 20€,94 pts,19.0€
Portuguese Red,,Portugal,Up to 10€,91 pts,7.0€
Portuguese White,,Portugal,Up to 10€,90 pts,9.0€
Portuguese White,,Portugal,Up to 10€,90 pts,9.0€
